company_code,vendor_id,invoice_document,fiscal_year,line_item,invoice_date,due_date,payment_terms,currency,amount,reference,line_item_text,vendor_country,priority,refundability_required,preferred_rail,allow_fallback
1000,0000001001,5100009999,2025,001,2025-07-06,2025-08-20,0002,USD,1149.09,PO45872246,Drayage & Fuel Surcharge,US,urgent,yes,card,yes
1000,0000003002,5100010001,2025,001,2025-06-04,2025-08-03,Z060,MXN,1034.54,PO45781453,Ocean Freight,MX,urgent,yes,rtp,yes
1000,0000005001,5100009999,2025,003,2025-07-25,2025-08-24,N030,GBP,1406.0,PO45325772,Container Handling,GB,urgent,yes,auto,yes
2000,0000006001,5100010003,2025,003,2025-06-06,2025-07-21,N045,CNY,2620.27,PO45496922,Drayage & Fuel Surcharge,CN,urgent,no,wire,no
1000,0000001001,5100010004,2025,002,2025-06-30,2025-07-30,N030,USD,4730.54,PO45996865,Last-Mile Delivery,US,urgent,no,auto,no
1000,0000002001,5100010005,2025,002,2025-07-16,2025-08-30,0002,CAD,3249.82,PO45835911,Drayage & Fuel Surcharge,CA,urgent,no,wire,yes
2000,0000007001,5100010006,2025,001,2025-06-29,2025-07-29,N030,JPY,4061.4,PO45913694,Linehaul July,JP,urgent,no,ach,yes
1000,0000007001,5100010007,2025,003,2025-07-11,2025-08-25,0002,JPY,3180.56,PO45514850,Expedited Air Freight,JP,urgent,no,ach,no
2000,0000005001,5100010008,2025,001,2025-07-25,2025-09-23,Z060,GBP,1977.18,PO45329974,Customs Brokerage,GB,urgent,no,wire,no
1000,0000004002,5100010009,2025,001,2025-06-21,2025-08-05,N045,EUR,2903.12,PO45503457,Palletization,DE,urgent,no,wire,no
1000,0000004002,5100010010,2025,003,2025-08-08,2025-09-07,N030,EUR,3712.41,PO45456699,Drayage & Fuel Surcharge,DE,urgent,no,ach_same_day,no
2000,0000003002,5100010011,2025,001,2025-06-23,2025-08-22,Z060,MXN,4389.35,PO45755674,Warehouse Storage,MX,urgent,no,card,yes
1000,0000004001,5100010012,2025,001,2025-07-12,2025-08-26,N045,EUR,4694.48,PO45480612,Warehouse Storage,DE,high,no,ach,yes
1000,0000005001,5100010013,2025,003,2025-08-02,2025-09-01,0001,GBP,88084.65,PO45658582,Customs Brokerage,GB,high,no,ach,no
2000,0000001004,5100010014,2025,001,2025-08-09,2025-09-23,0002,USD,65026.56,PO45518373,Container Handling,US,high,no,rtp,no
2000,0000001001,5100010014,2025,002,2025-08-10,2025-09-24,0002,USD,54194.29,PO45107540,Drayage & Fuel Surcharge,US,high,no,card,yes
1000,0000003002,5100010016,2025,002,2025-07-01,2025-07-31,N030,MXN,61201.07,PO45324643,Ocean Freight,MX,high,no,ach,no
1000,0000001002,5100010014,2025,001,2025-06-13,2025-07-28,N045,USD,33823.89,PO45531071,Expedited Air Freight,US,high,no,card,yes
1000,0000001004,5100010018,2025,001,2025-06-25,2025-08-24,Z060,USD,42029.38,PO45542374,Customs Brokerage,US,high,no,ach_same_day,no
2000,0000006001,5100010019,2025,002,2025-08-10,2025-09-09,0001,CNY,7401.18,PO45666847,Linehaul July,CN,high,no,auto,yes
1000,0000006002,5100010020,2025,003,2025-07-22,2025-08-21,0001,CNY,17323.43,PO45102260,Palletization,CN,high,no,ach_same_day,no
2000,0000001003,5100010016,2025,002,2025-06-25,2025-07-25,N030,USD,21939.98,PO45161324,Port Fees,US,high,no,card,yes
1000,0000001001,5100010022,2025,003,2025-08-05,2025-09-04,0001,USD,77066.8,PO45171849,Port Fees,US,high,yes,auto,yes
1000,0000004001,5100010023,2025,003,2025-06-06,2025-08-05,Z060,EUR,10132.56,PO45789305,Port Fees,DE,high,no,wire,no
2000,0000001004,5100010019,2025,003,2025-07-04,2025-08-18,N045,USD,8287.26,PO45776856,Warehouse Storage,US,normal,no,rtp,no
1000,0000001002,5100010025,2025,002,2025-08-08,2025-09-22,0002,USD,30600.14,PO45238890,Container Handling,US,normal,no,auto,yes
2000,0000004001,5100010026,2025,001,2025-08-07,2025-09-06,0001,EUR,40237.86,PO45681542,Warehouse Storage,DE,normal,no,card,yes
1000,0000001005,5100010027,2025,001,2025-07-07,2025-09-05,Z060,USD,13032.46,PO45459536,Last-Mile Delivery,US,normal,yes,card,no
1000,0000004002,5100010028,2025,003,2025-07-25,2025-08-24,N030,EUR,3123.16,PO45449759,Customs Brokerage,DE,normal,no,card,no
2000,0000003002,5100010029,2025,001,2025-06-02,2025-07-02,0001,MXN,4977.01,PO45824586,Customs Brokerage,MX,normal,no,wire,yes
2000,0000001003,5100010030,2025,002,2025-06-06,2025-07-06,N030,USD,22196.77,PO45934794,Linehaul July,US,normal,no,ach_same_day,yes
2000,0000004001,5100010031,2025,002,2025-06-20,2025-08-04,0002,EUR,51944.04,PO45938742,Customs Brokerage,DE,normal,no,rtp,yes
2000,0000006001,5100010032,2025,002,2025-07-02,2025-08-01,N030,CNY,9972.27,PO45835343,Drayage & Fuel Surcharge,CN,normal,yes,rtp,yes
2000,0000001005,5100010033,2025,002,2025-06-30,2025-08-14,0002,USD,1908.03,PO45302511,Palletization,US,normal,no,ach_same_day,no
2000,0000004002,5100010034,2025,002,2025-08-05,2025-09-19,N045,EUR,40931.33,PO45984642,Ocean Freight,DE,normal,no,ach_same_day,yes
1000,0000004001,5100010035,2025,003,2025-07-04,2025-08-03,0001,EUR,6949.95,PO45555673,Container Handling,DE,normal,yes,card,no
1000,0000002002,5100010036,2025,003,2025-06-25,2025-07-25,N030,CAD,3141.0,PO45557239,Linehaul July,CA,normal,no,wire,yes
2000,0000004001,5100010037,2025,002,2025-07-11,2025-08-10,0001,EUR,43325.38,PO45414910,Ocean Freight,DE,normal,no,ach_same_day,no
1000,0000001004,5100010038,2025,001,2025-07-24,2025-09-07,N045,USD,40800.42,PO45282480,Port Fees,US,normal,yes,wire,no
2000,0000001005,5100010039,2025,003,2025-06-27,2025-08-11,N045,USD,47252.65,PO45736130,Container Handling,US,normal,yes,rtp,no
2000,0000006001,5100010040,2025,001,2025-06-22,2025-07-22,0001,CNY,17385.29,PO45796101,Port Fees,CN,normal,no,ach_same_day,yes
1000,0000001003,5100010041,2025,003,2025-06-04,2025-07-04,0001,USD,15068.13,PO45598216,Port Fees,US,normal,yes,auto,no
1000,0000005001,5100010042,2025,003,2025-07-20,2025-09-03,N045,GBP,6114.86,PO45254739,Linehaul July,GB,low,no,auto,no
2000,0000001001,5100010043,2025,003,2025-07-02,2025-08-01,0001,USD,6955.64,PO45940346,Expedited Air Freight,US,low,yes,card,no
2000,0000006002,5100010044,2025,002,2025-08-10,2025-09-24,N045,CNY,13478.68,PO45879779,Expedited Air Freight,CN,low,no,rtp,no
2000,0000004002,5100010045,2025,003,2025-07-01,2025-07-31,N030,EUR,6710.11,PO45848206,Warehouse Storage,DE,low,no,ach,no
1000,0000001003,5100010046,2025,002,2025-06-20,2025-08-04,0002,USD,5868.92,PO45260227,Last-Mile Delivery,US,low,yes,auto,no
2000,0000001001,5100010047,2025,002,2025-06-27,2025-08-11,N045,USD,5964.26,PO45907189,Port Fees,US,low,yes,card,yes
2000,0000006001,5100010048,2025,002,2025-07-20,2025-09-03,N045,CNY,8165.66,PO45870319,Ocean Freight,CN,low,yes,wire,yes
2000,0000001001,5100010049,2025,003,2025-07-20,2025-08-19,N030,USD,10099.33,PO45936912,Palletization,US,low,yes,card,yes
1000,0000007001,5100010050,2025,001,2025-07-21,2025-09-19,Z060,JPY,8553.0,PO45128418,Drayage & Fuel Surcharge,JP,low,no,card,no
1000,0000001005,5100010051,2025,001,2025-07-19,2025-08-18,N030,USD,3332.57,PO45442722,Container Handling,US,low,yes,rtp,no
2000,0000001001,5100010052,2025,001,2025-08-09,2025-09-08,0001,USD,14998.64,PO45466960,Last-Mile Delivery,US,low,no,card,yes
1000,0000006002,5100010053,2025,002,2025-06-03,2025-08-02,Z060,CNY,2455.26,PO45232352,Expedited Air Freight,CN,low,no,card,yes
2000,0000001003,5100010054,2025,003,2025-06-15,2025-07-30,0002,USD,14477.87,PO45213349,Port Fees,US,low,yes,auto,no
1000,0000001002,5100010055,2025,003,2025-07-02,2025-08-01,0001,USD,10518.46,PO45416232,Port Fees,US,low,no,auto,yes
2000,0000001002,5100010056,2025,002,2025-08-04,2025-09-03,N030,USD,387.25,PO45540463,Expedited Air Freight,US,low,no,auto,no
1000,0000002002,5100010057,2025,003,2025-06-23,2025-08-22,Z060,CAD,14489.01,PO45383201,Port Fees,CA,low,yes,wire,no
2000,0000002001,5100010055,2025,001,2025-07-02,2025-08-01,0001,CAD,4328.14,PO45572700,Last-Mile Delivery,CA,low,no,rtp,no
2000,0000001004,5100010055,2025,002,2025-07-16,2025-08-15,N030,USD,5237.01,PO45725113,Warehouse Storage,US,low,no,wire,yes
